gene_id	n_variants	mean_fst	max_fst	fst_YRI_vs_CEU	fst_YRI_vs_CHB	fst_CEU_vs_CHB	in_sweep	n_conv_groups	max_h12
CCNI2	36	0.388436	0.663978	0.663978	0.112974	0.513146	False	0	0.0
C12orf76	6	0.38796	0.483222	0.357525	0.483222	None	False	0	0.0
GATM	18	0.387651	0.568455	0.536298	0.417824	0.568455	False	0	0.0
RASGEF1B	14	0.38655	0.560947	0.415633	0.560947	0.054228	False	0	0.0
LOC101928953	6	0.386349	0.472842	0.299856	None	None	False	0	0.0
C17orf64	30	0.385608	0.640439	0.630666	0.626434	0.024974	False	0	0.0
SEPTIN8	47	0.385199	0.662728	0.662728	0.091684	0.516206	False	0	0.0
LOC105375410	4	0.384677	0.461109	None	0.461109	0.308245	False	0	0.0
RCC1L	34	0.384668	0.661857	0.339373	0.661857	0.188581	False	0	0.0
LLCFC1	10	0.383072	0.64816	0.541412	0.64112	0.037876	False	0	0.0
RABGAP1	36	0.382695	0.744705	0.744705	0.156666	0.366019	False	0	0.0
LINC02029	3	0.380817	0.508029	0.508029	0.366397	None	False	0	0.0
SUOX	24	0.379892	0.660174	0.616041	0.623244	0.0	False	0	0.0
SULT1C4	21	0.378291	0.75097	0.579634	0.75097	0.094546	False	0	0.0
LOC124900286	38	0.377387	0.676959	0.676959	0.450488	0.112863	False	0	0.0
RTKN	40	0.376418	0.64226	0.607837	0.146558	0.64226	False	0	0.0
MPG	37	0.375672	0.693895	0.693895	0.545427	0.06739	False	0	0.0
C2orf50	16	0.375154	0.523386	0.515556	0.451806	0.00987	False	0	0.0
METTL14-DT	6	0.374694	0.45892	0.269806	0.45892	None	False	0	0.0
LOC124904863	6	0.3743	0.45314	0.282711	0.45314	None	False	0	0.0
EXOC6B	53	0.372324	0.660053	0.39828	0.660053	0.161259	False	0	0.0
UFM1	8	0.368932	0.392042	0.372935	0.392042	None	False	0	0.0
LINC00355	5	0.367494	0.367494	None	None	None	False	0	0.0
RPL38	12	0.367382	0.616647	0.60871	0.611553	0.0	False	0	0.0
IFNL1	16	0.367024	0.571469	0.529603	None	None	False	0	0.0
HM13	15	0.366245	0.516548	0.436011	0.516548	None	False	0	0.0
CH25H	9	0.363761	0.777163	0.104503	0.777163	0.577317	False	0	0.0
LOC105370216	5	0.3632	0.436243	0.339737	0.313619	None	False	0	0.0
TACR1	15	0.363039	0.408572	0.361104	0.408572	None	False	0	0.0
ANKRD45	23	0.362831	0.609975	0.603602	0.609975	0.002894	False	0	0.0
SIK2	38	0.362405	0.670712	0.365742	0.670712	0.210302	False	0	0.0
RSPO2	14	0.362344	0.54444	0.505181	0.54444	None	False	0	0.0
MRPL53	11	0.361621	0.644294	0.632975	0.0	0.644294	False	0	0.0
BCL2L10	18	0.361049	0.437087	0.437087	0.314182	None	False	0	0.0
MRPS7	16	0.359944	0.630675	0.538374	0.621272	0.00543	False	0	0.0
LOC124903532	12	0.358645	0.469426	0.154669	0.451841	None	False	0	0.0
PIGR	45	0.358615	0.594753	0.582016	0.546767	0.015875	False	0	0.0
LOC124901770	3	0.358428	0.437458	0.361073	0.276754	None	False	0	0.0
SLC41A1	25	0.358121	0.43313	0.38003	0.43313	0.280017	False	0	0.0
APOF	17	0.357917	0.478057	0.478057	0.462346	None	False	0	0.0
LOC124901026	4	0.357458	0.403645	0.308929	0.359802	None	False	0	0.0
STAT3	22	0.357382	0.427925	0.427925	0.347601	None	False	0	0.0
TRL-CAA4-1	10	0.357044	0.561513	0.561513	None	0.428896	False	0	0.0
PSPN	17	0.356826	0.661597	0.661597	0.414836	0.120943	False	0	0.0
MPHOSPH9	76	0.35621	0.560864	0.550063	0.539557	0.118173	False	0	0.0
GATA6	35	0.356093	0.610859	0.610859	0.559105	0.010891	False	0	0.0
LINC01515	6	0.355096	0.394947	0.391929	0.278413	None	False	0	0.0
ARHGEF1	81	0.354189	0.644567	0.644567	0.381384	0.1847	False	0	0.0
DHRS4	45	0.353701	0.595042	0.577177	0.587204	0.006164	False	0	0.0
SEPTIN14P6	6	0.352968	0.57367	0.57367	0.039592	None	False	0	0.0
LOC105372957	6	0.35259	0.646325	0.646325	0.444785	0.114054	False	0	0.0
TTC31	53	0.35085	0.608815	0.602694	0.044297	0.608815	False	0	0.0
PRSS53	44	0.349952	0.599497	0.200081	0.599497	0.544815	False	0	0.0
MOGS	38	0.349375	0.605062	0.605062	0.033498	0.605039	False	0	0.0
WBP1	24	0.349082	0.626843	0.626843	0.001876	0.624006	False	0	0.0
BCKDK	25	0.348891	0.820043	0.253732	0.820043	0.494614	False	0	0.0
CDK2AP1	12	0.348645	0.647012	0.438102	0.647012	0.17315	False	0	0.0
CCL23	12	0.348163	0.65474	0.65474	0.423247	0.088194	False	0	0.0
LOC105371836	4	0.347997	0.347997	0.347997	None	None	False	0	0.0
PMVK	13	0.347238	0.518624	0.443949	0.518624	None	False	0	0.0
ZBTB8OS	13	0.346896	0.346896	None	None	None	False	0	0.0
KLHL20	18	0.346387	0.347429	0.347429	0.345866	None	False	0	0.0
DARS1	25	0.346204	0.670276	0.670276	0.212937	0.345252	False	0	0.0
DHX58	48	0.346161	0.649888	0.498835	0.649888	0.058999	False	0	0.0
LOC107985729	38	0.345966	0.677726	0.014818	0.577351	0.677726	False	0	0.0
ARL6IP4	23	0.345048	0.488054	0.488054	0.372069	0.0419	False	0	0.0
CCDC198	38	0.344983	0.570695	0.351733	0.570695	0.15456	False	0	0.0
LOC105374409	6	0.344654	0.652259	0.143919	0.652259	0.649431	False	0	0.0
HINT1	9	0.344015	0.363167	0.321647	0.363167	None	False	0	0.0
CXCR6	17	0.343999	0.520587	0.423182	0.520587	None	False	0	0.0
LOC107986400	6	0.340565	0.570492	0.570492	None	None	False	0	0.0
C2orf81	42	0.340445	0.613837	0.613837	0.016515	0.536061	False	0	0.0
ZKSCAN5	34	0.339911	0.609361	0.609361	0.464883	0.082966	False	0	0.0
PKDREJ	137	0.338467	0.58827	0.382411	0.58827	0.138793	False	0	0.0
DKK4	20	0.338244	0.622315	0.622315	0.557385	0.00347	False	0	0.0
NBR2	4	0.338176	0.388735	0.388735	0.334645	None	False	0	0.0
IGHA2	32	0.337738	0.600388	0.600388	0.187914	0.374342	False	0	0.0
LOC124902686	4	0.337729	0.535459	0.535459	0.423085	None	False	0	0.0
DUOXA2	25	0.337511	0.580757	0.548907	0.553146	0.000804	False	0	0.0
GPR152	51	0.337396	0.531842	0.516354	0.510294	0.12849	False	0	0.0
PTK6	44	0.337338	0.443138	0.432755	0.443138	0.00772	False	0	0.0
PAX5	23	0.337273	0.590654	0.590654	0.529496	0.02408	False	0	0.0
SPINK13	17	0.337208	0.605446	0.605446	0.184412	0.299832	False	0	0.0
FBXW9	43	0.336745	0.556485	0.518329	0.556485	0.033596	False	0	0.0
LOC105370278	7	0.336503	0.46378	0.266118	0.46378	None	False	0	0.0
LOC105372586	5	0.33638	0.453208	0.194452	0.453208	None	False	0	0.0
HDDC2	19	0.336196	0.510418	0.374599	0.425549	None	False	0	0.0
CRBN	21	0.335813	0.662745	0.036456	0.624576	0.662745	False	0	0.0
SPAG6	31	0.335483	0.563494	0.541068	0.563494	0.012039	False	0	0.0
TAS2R20	23	0.335326	0.602068	0.189565	0.602068	0.244938	False	0	0.0
PSMB10	15	0.335261	0.532581	0.442949	0.532581	None	False	0	0.0
GCAWKR	12	0.334113	0.347661	0.337789	0.347661	None	False	0	0.0
DOLPP1	12	0.334111	0.546053	0.546053	0.095802	0.296427	False	0	0.0
LRRC42	26	0.334082	0.599062	0.499185	0.599062	0.019197	False	0	0.0
LYSMD1	12	0.333846	0.572584	0.379824	0.555869	0.081653	False	0	0.0
TNPO2	35	0.333482	0.55306	0.543149	0.55306	0.008462	False	0	0.0
HOXA7	17	0.333181	0.58865	0.506034	0.561153	0.0	False	0	0.0
LOC102724587	6	0.332687	0.332687	None	0.332687	None	False	0	0.0
ADAT1	54	0.332662	0.554909	0.30578	0.440745	0.554909	False	0	0.0
FMC1-LUC7L2	20	0.332588	0.595981	0.595981	0.579671	0.0	False	0	0.0
AP5M1	26	0.332412	0.578054	0.513701	0.578054	0.024015	False	0	0.0
SLC25A19	20	0.331947	0.647201	0.503949	0.647201	0.082694	False	0	0.0
CNNM3	54	0.331822	0.593123	0.589449	0.450194	0.026343	False	0	0.0
DEFB134	7	0.331817	0.594603	0.163391	0.594603	None	False	0	0.0
ASDURF	9	0.331778	0.584079	0.546763	0.528047	0.0	False	0	0.0
STK35	31	0.331593	0.702001	0.043166	0.559529	0.702001	False	0	0.0
B9D1	29	0.33121	0.730183	0.53521	0.024516	0.730183	False	0	0.0
RAD9A	55	0.330521	0.651599	0.559035	0.363067	0.052829	False	0	0.0
S100A16	21	0.329518	0.610888	0.352026	0.610888	None	False	0	0.0
OR2L8	33	0.329154	0.584904	0.583324	0.392567	0.082203	False	0	0.0
PCMTD1	158	0.32898	0.622844	0.622844	0.343575	0.128384	False	0	0.0
IGHG1	49	0.328505	0.540377	0.540377	0.303712	0.339886	False	0	0.0
ACD	26	0.328482	0.682675	0.453433	0.682675	0.161363	False	0	0.0
KCNMB2	12	0.328135	0.671293	0.319234	0.671293	0.196243	False	0	0.0
CYP1A2	38	0.327713	0.612708	0.612708	0.082301	0.454109	False	0	0.0
STRBP	27	0.327591	0.534902	0.534902	0.14296	0.443744	False	0	0.0
DQX1	28	0.327586	0.621625	0.561303	0.025757	0.621625	False	0	0.0
CBLN2	33	0.327495	0.545512	0.545512	0.213774	0.434037	False	0	0.0
POLG2	33	0.327371	0.613022	0.536919	0.613022	0.00899	False	0	0.0
RBM23	62	0.326991	0.599534	0.465789	0.599534	0.020991	False	0	0.0
WBP2	26	0.326138	0.60935	0.426816	0.60935	0.085195	False	0	0.0
HES4	37	0.325813	0.65803	0.469678	0.65803	0.052861	False	0	0.0
DDX5	25	0.325781	0.606743	0.515565	0.606743	0.022256	False	0	0.0
KAT8	24	0.325482	0.747331	0.258309	0.747331	0.42494	False	0	0.0
MICU1	20	0.325119	0.620784	0.584251	0.0	0.620784	False	0	0.0
MOXD2P	5	0.324941	0.324941	0.324941	None	None	False	0	0.0
TRIM74	15	0.324413	0.434407	0.270426	0.434407	None	False	0	0.0
CSNK1G1	26	0.324072	0.609173	0.468838	0.609173	0.039853	False	0	0.0
ARPIN-AP3S2	31	0.3236	0.555701	0.555701	0.53071	0.0	False	0	0.0
SAMD4B	71	0.323171	0.571202	0.49064	0.571202	0.011146	False	0	0.0
F13B	37	0.322856	0.581484	0.426888	0.581484	0.199347	False	0	0.0
CABP2	31	0.322438	0.578496	0.447795	0.578496	0.042024	False	0	0.0
PLEKHG4	71	0.322087	0.639783	0.51605	0.639783	0.035513	False	0	0.0
CDPF1	24	0.321889	0.546942	0.348898	0.546942	0.13574	False	0	0.0
AGO4	18	0.321855	0.644717	0.635627	0.007077	None	False	0	0.0
SNAI1	10	0.321101	0.61207	0.50746	0.61207	0.021321	False	0	0.0
MKRN1	31	0.320822	0.552865	0.552865	0.472633	0.047956	False	0	0.0
TRAT1	23	0.32056	0.645768	0.294093	0.645768	0.252343	False	0	0.0
ARPIN	27	0.320327	0.552897	0.552897	0.531272	0.0	False	0	0.0
RPAIN	15	0.31992	0.57118	0.014192	0.57118	0.504761	False	0	0.0
SH2B3	55	0.319498	0.390231	0.390231	0.346399	0.340334	False	0	0.0
FAM200A	50	0.319256	0.599118	0.599118	0.412911	0.07411	False	0	0.0
C20orf144	12	0.318507	0.357238	0.357238	0.323811	None	False	0	0.0
ZNF35	31	0.318404	0.636118	0.098355	0.636118	0.512753	False	0	0.0
TRAJ24	4	0.317957	0.37738	None	0.37738	0.258533	False	0	0.0
VWA1	46	0.317872	0.687007	0.477064	0.050647	0.687007	False	0	0.0
ZNF770	31	0.317739	0.582031	0.555522	0.429482	0.021659	False	0	0.0
TRPV6	57	0.316821	0.531957	0.43189	0.531957	0.043177	False	0	0.0
WT1	22	0.316416	0.55626	0.256299	0.55626	0.440895	False	0	0.0
GPR88	9	0.316249	0.316249	0.316249	None	None	False	0	0.0
TMEM60	7	0.316248	0.560155	0.254134	0.560155	0.134456	False	0	0.0
TPX2	27	0.316076	0.536651	0.168485	0.536651	0.239535	False	0	0.0
TMEM158	14	0.314288	0.53623	0.53623	0.471351	0.036683	False	0	0.0
BTLA	9	0.314225	0.60538	0.60538	0.330823	0.119796	False	0	0.0
ALMS1	259	0.313131	0.611622	0.396719	0.611622	0.097774	False	0	0.0
C12orf50	36	0.312891	0.593541	0.502598	0.593541	0.033727	False	0	0.0
ECHS1	23	0.31271	0.565626	0.415711	0.565626	0.112287	False	0	0.0
ZNF668	38	0.312491	0.73785	0.236902	0.73785	0.423759	False	0	0.0
C8orf82	16	0.312317	0.550879	0.476645	0.488298	0.0	False	0	0.0
TRIM54	30	0.312087	0.652418	0.473463	0.652418	0.049384	False	0	0.0
POLR1C	27	0.311037	0.339048	0.331167	0.339048	None	False	0	0.0
LOC105375957	4	0.310788	0.310788	None	None	None	False	0	0.0
CDKN1B	19	0.31065	0.659091	0.444332	0.659091	0.099175	False	0	0.0
LOC105379311	4	0.310248	0.361356	0.259141	0.361356	None	False	0	0.0
ARPC1B	26	0.310198	0.54475	0.498873	0.54475	0.019621	False	0	0.0
ZMYM6	45	0.31018	0.540065	0.540065	0.26142	0.279611	False	0	0.0
TRMT11	40	0.309659	0.665471	0.202146	0.665471	0.363941	False	0	0.0
SIRPB2	49	0.309542	0.60716	0.1393	0.60716	0.512455	False	0	0.0
PRSS45P	3	0.309432	0.342327	0.276538	0.342327	None	False	0	0.0
ARHGAP42	53	0.309429	0.635582	0.096126	0.635582	0.402659	False	0	0.0
LRRC36	38	0.308206	0.548762	0.492107	0.548762	0.036065	False	0	0.0
SLC38A3	23	0.307362	0.544765	0.256781	0.495019	0.544765	False	0	0.0
LINC02173	3	0.307132	0.307132	None	None	None	False	0	0.0
NIF3L1	33	0.306928	0.519279	0.276712	0.519279	None	False	0	0.0
CRIP1	10	0.306918	0.500968	0.488554	None	0.188723	False	0	0.0
BCAS3	51	0.30678	0.519982	0.519982	0.461227	0.047333	False	0	0.0
SPSB4	17	0.306496	0.396276	0.396276	0.264954	None	False	0	0.0
RIPPLY2	16	0.306326	0.449787	0.423159	0.109573	0.242787	False	0	0.0
NDUFAF8	13	0.306217	0.564947	0.368949	0.564947	0.108526	False	0	0.0
GSG1L2	35	0.305899	0.491673	0.491673	0.256726	0.215981	False	0	0.0
RESP18	28	0.305636	0.613969	0.515322	0.613969	0.029787	False	0	0.0
MAP4K3	43	0.305195	0.566194	0.566194	0.48308	0.010221	False	0	0.0
KYAT1	64	0.30519	0.620277	0.620277	0.408629	0.051994	False	0	0.0
OR56B4	19	0.304792	0.553332	0.334121	0.553332	0.200714	False	0	0.0
TKFC	64	0.304443	0.511634	0.511634	0.497535	0.062347	False	0	0.0
EXOSC8	12	0.303743	0.530819	0.234359	0.530819	0.144049	False	0	0.0
C8orf74	45	0.303152	0.549591	0.549591	0.445278	0.048832	False	0	0.0
ARL17B	6	0.303016	0.453897	0.375464	None	0.372496	False	0	0.0
ATAD3B	190	0.302623	0.509199	0.509199	0.103427	0.468329	False	0	0.0
LOC105372058	8	0.302309	0.507745	0.507745	0.505789	0.0	False	0	0.0
RGR	16	0.302007	0.52226	0.52226	0.48982	0.002088	False	0	0.0
RBPMS2	15	0.30166	0.586259	0.459028	0.586259	0.040012	False	0	0.0
LOC101927711	9	0.30137	0.529305	0.421082	0.529305	0.043301	False	0	0.0
PRSS36	53	0.300904	0.540678	0.389073	0.540678	0.148057	False	0	0.0
CASP3	15	0.300588	0.571202	0.106799	0.571202	0.485855	False	0	0.0
TNFRSF10A	53	0.300325	0.587826	0.133289	0.587826	0.397009	False	0	0.0
SERTAD1	17	0.300252	0.612254	0.457231	0.612254	0.070499	False	0	0.0
PSMB4	13	0.299894	0.447831	0.400558	0.110866	0.447831	False	0	0.0
SOX7	30	0.299894	0.573454	0.34252	0.573454	0.15146	False	0	0.0
COMMD3-BMI1	14	0.299887	0.509605	0.472478	0.505594	0.005018	False	0	0.0
ACAP3	62	0.299414	0.597931	0.597931	0.053682	0.428192	False	0	0.0
TPK1	34	0.299377	0.511994	0.441672	0.511994	0.054335	False	0	0.0
ANKRD52	37	0.298937	0.521636	0.431369	0.503874	0.01557	False	0	0.0
COMMD3	14	0.298842	0.509605	0.472478	0.501646	0.003738	False	0	0.0
SPINK6	7	0.298819	0.588578	None	None	None	False	0	0.0
SAMD15	41	0.298726	0.682587	0.247672	0.682587	0.308325	False	0	0.0
LUCAT1	4	0.298712	0.303629	0.303629	None	None	False	0	0.0
WRAP53	49	0.29861	0.570368	0.570368	0.328166	0.126846	False	0	0.0
LGALS16	9	0.298482	0.30241	0.299747	0.30241	None	False	0	0.0
CIAO2A	9	0.298468	0.303472	0.293463	0.303472	None	False	0	0.0
CCNL2	49	0.298044	0.615809	0.514142	0.020479	0.615809	False	0	0.0
TTC24	56	0.297932	0.474194	0.474194	0.321928	0.126982	False	0	0.0
IGHV3-76	10	0.2979	0.494121	0.482496	0.494121	0.021059	False	0	0.0
AGO1	24	0.297855	0.675341	0.38733	0.118946	0.675341	False	0	0.0
GADL1	48	0.297655	0.484794	0.484794	0.224072	0.350255	False	0	0.0
MARCOL	21	0.297614	0.555054	0.555054	0.327712	0.097562	False	0	0.0
FAM210B	18	0.297495	0.555113	0.355513	0.555113	0.130928	False	0	0.0
TRGV11	10	0.296978	0.561606	0.561606	0.389565	0.040357	False	0	0.0
PIGC	18	0.296437	0.548213	0.386153	0.548213	0.048199	False	0	0.0
PIGBOS1	10	0.296287	0.415987	0.409552	0.063322	None	False	0	0.0
LOC124901350	16	0.296074	0.417626	0.381069	0.417626	None	False	0	0.0
LINC02831	7	0.296068	0.296068	0.296068	None	None	False	0	0.0
PAN2	35	0.295923	0.508636	0.473778	0.508636	0.011499	False	0	0.0
LOC105377975	3	0.295637	0.295637	None	None	0.295637	False	0	0.0
ZNF398	54	0.295585	0.573671	0.288661	0.573671	0.142179	False	0	0.0
GLIS1	84	0.295169	0.505414	0.505414	0.230871	0.284825	False	0	0.0
SFPQ	50	0.294657	0.564367	0.511434	0.003176	0.564367	False	0	0.0
SPRR2D	8	0.294588	0.549408	0.017653	0.472372	0.549408	False	0	0.0
MRAP2	38	0.294548	0.535974	0.474926	0.535974	0.004307	False	0	0.0
C1orf232	17	0.294516	0.511566	0.191138	0.511566	0.232336	False	0	0.0
PAF1	36	0.294016	0.50924	0.474479	0.50924	0.0	False	0	0.0
AHSA1	21	0.293874	0.690818	0.222202	0.690818	0.319499	False	0	0.0
STK11IP	86	0.293873	0.504048	0.418779	0.504048	0.126662	False	0	0.0
PREP	38	0.293617	0.572943	0.441683	0.572943	0.104504	False	0	0.0
PTPN18	53	0.293475	0.486675	0.486675	0.435003	0.067675	False	0	0.0
EDC4	42	0.293253	0.575479	0.445766	0.575479	0.029233	False	0	0.0
IL11	21	0.292856	0.632767	0.339821	0.632767	0.116248	False	0	0.0
EDAR	38	0.292773	0.594622	0.210221	0.53996	0.594622	False	0	0.0
ELAVL4	25	0.292743	0.510023	0.510023	0.312179	0.15602	False	0	0.0
TSPYL4	29	0.292737	0.484078	0.29356	0.484078	0.172756	False	0	0.0
TRBC1	26	0.292636	0.53801	0.426305	0.53801	0.018729	False	0	0.0
FAM118A	56	0.292609	0.581476	0.581476	0.210795	0.216547	False	0	0.0
RFPL2	68	0.292195	0.607344	0.221803	0.607344	0.255338	False	0	0.0
ZNF787	39	0.29212	0.541414	0.483147	0.265168	0.161845	False	0	0.0
PBXIP1	39	0.292098	0.630937	0.185912	0.630937	0.260446	False	0	0.0
NUDT6	25	0.292002	0.553087	0.381492	0.553087	0.099778	False	0	0.0
ZNF695	35	0.291703	0.63061	0.227783	0.63061	0.291023	False	0	0.0
LOC124900954	5	0.29155	0.297824	0.285883	0.290942	None	False	0	0.0
TGM7	56	0.291173	0.569945	0.569945	0.361317	0.047478	False	0	0.0
LOC105373734	6	0.290928	0.352152	0.222048	0.352152	None	False	0	0.0
ADD3	58	0.29076	0.497369	0.497369	0.290119	0.168079	False	0	0.0
GUCA1B	16	0.290691	0.588517	0.3553	0.588517	0.067043	False	0	0.0
DCXR	16	0.290488	0.514107	0.395032	0.428594	0.065999	False	0	0.0
CPSF4	23	0.29043	0.534503	0.534503	0.38069	0.078355	False	0	0.0
FLOT2	16	0.290381	0.508166	0.417377	0.499719	0.009382	False	0	0.0
MAB21L3	36	0.290165	0.518408	0.486219	0.439061	0.007139	False	0	0.0
CABP4	58	0.290156	0.49828	0.340487	0.447512	0.060594	False	0	0.0
REM1	25	0.290135	0.489812	0.485649	0.442747	0.026562	False	0	0.0
MSTO2P	6	0.290029	0.507919	0.264864	None	None	False	0	0.0
ZNF646	95	0.289991	0.676636	0.194244	0.676636	0.34405	False	0	0.0
AAR2	18	0.289694	0.49279	0.49279	0.475475	0.005994	False	0	0.0
LRFN1	32	0.289586	0.50319	0.457463	0.484532	0.000169	False	0	0.0
IP6K3	61	0.289566	0.544761	0.180781	0.544761	0.229356	False	0	0.0
MRTFA	81	0.289447	0.550064	0.384722	0.550064	0.159408	False	0	0.0
LOC102724427	17	0.289385	0.501638	0.475842	0.501638	0.000132	False	0	0.0
CD8B2	31	0.289279	0.577399	0.078455	0.577399	0.399271	False	0	0.0
TP53BP1	111	0.289277	0.560771	0.560771	0.291505	0.149012	False	0	0.0
SEMA4F	59	0.289151	0.543844	0.497278	0.046979	0.543844	False	0	0.0
ZNF768	33	0.28904	0.631724	0.133024	0.631724	0.381242	False	0	0.0
ST3GAL2	21	0.288853	0.290678	0.290678	0.285202	None	False	0	0.0
MRPS10	23	0.288475	0.53174	0.417427	0.53174	0.03244	False	0	0.0
P2RX3	35	0.288223	0.515143	0.251404	0.515143	0.113268	False	0	0.0
R3HDM1	33	0.288203	0.499999	0.455059	0.033776	0.499999	False	0	0.0
ELMOD1	24	0.288167	0.546175	0.546175	0.107857	0.323965	False	0	0.0
MINDY1	35	0.28776	0.427602	0.360103	0.317351	0.141078	False	0	0.0
PRC1	31	0.287727	0.530537	0.530537	0.278831	0.257055	False	0	0.0
UBE2D3	10	0.287708	0.287708	None	0.287708	None	False	0	0.0
C7orf25	20	0.287579	0.495464	0.466347	0.476082	0.0	False	0	0.0
HSD3B7	23	0.286811	0.663386	0.295709	0.663386	0.241161	False	0	0.0
LINC02278	6	0.286479	0.346885	0.310553	0.346885	None	False	0	0.0
TNRC6B	61	0.286055	0.667964	0.310488	0.667964	0.197208	False	0	0.0
